gpu-slot: waiting for the machine-wide GPU slot at 10:24:07 from <worktree>
gpu-slot: slot taken at 10:24:07; load 17.47 29.01 29.49
loaded Ruicheng/moge-2-vitl@39c4d5e957afe587e04eec59dc2bcc3be5ecd968 in 40.3 s
<worktree>/.venv/lib/python3.11/site-packages/moge/model/modules/conv_stack.py:170: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  torch.autocast(device_type=x.device.type, dtype=torch.float32, enabled=True)
<worktree>/.venv/lib/python3.11/site-packages/moge/model/v2.py:284: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  with torch.autocast(device_type=self.device.type, dtype=torch.float32):
held3-courtyard-131/held3-courtyard-131-c1-p0: fov 50.76 (true 53.06) valid 0.998 4.33 s
<worktree>/.venv/lib/python3.11/site-packages/moge/model/modules/conv_stack.py:170: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  torch.autocast(device_type=x.device.type, dtype=torch.float32, enabled=True)
<worktree>/.venv/lib/python3.11/site-packages/moge/model/v2.py:284: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtypes of torch.bfloat16, torch.float16 currently.
  with torch.autocast(device_type=self.device.type, dtype=torch.float32):
held3-landscape-332/held3-landscape-332-c3-p1: fov 58.41 (true 53.06) valid 0.688 0.76 s
held3-landscape-332/held3-landscape-332-c3-p2: fov 50.68 (true 53.06) valid 0.715 0.77 s
held3-landscape-332/held3-landscape-332-g1-p0: fov 53.76 (true 53.06) valid 0.911 0.86 s
held3-landscape-332/held3-landscape-332-g1-p1: fov 50.41 (true 53.06) valid 0.939 0.87 s
held3-landscape-332/held3-landscape-332-g1-p2: fov 53.95 (true 53.06) valid 0.268 0.53 s
held3-landscape-332/held3-landscape-332-g1-p3: fov 51.28 (true 53.06) valid 0.287 0.55 s
held3-landscape-332/held3-landscape-332-lo-p0: fov 59.53 (true 53.06) valid 0.656 0.73 s
held3-landscape-332/held3-landscape-332-lo-p1: fov 48.24 (true 53.06) valid 0.672 0.78 s
held3-landscape-332/held3-landscape-332-m1-p0: fov 48.59 (true 53.06) valid 0.655 0.72 s
held3-landscape-332/held3-landscape-332-m1-p1: fov 33.18 (true 28.03) valid 0.857 0.84 s
held3-landscape-332/held3-landscape-332-m1-p2: fov 37.38 (true 12.35) valid 0.904 0.88 s
held3-landscape-332/held3-landscape-332-m1-p3: fov 53.96 (true 53.06) valid 0.746 0.76 s
held3-landscape-332/held3-landscape-332-mv-p0: fov 49.88 (true 53.06) valid 0.700 0.74 s
held3-landscape-332/held3-landscape-332-mv-p1: fov 43.57 (true 53.06) valid 0.787 0.81 s
held3-landscape-332/held3-landscape-332-mv-p2: fov 51.25 (true 53.06) valid 0.537 0.68 s
held3-landscape-332/held3-landscape-332-mv2-p0: fov 52.61 (true 53.06) valid 0.507 0.65 s
held3-landscape-332/held3-landscape-332-mv2-p1: fov 48.64 (true 53.06) valid 0.519 0.65 s
held3-landscape-332/held3-landscape-332-mv2-p2: fov 48.02 (true 53.06) valid 0.509 0.66 s
held3-landscape-332/held3-landscape-332-p1-p0: fov 64.51 (true 67.30) valid 0.626 0.72 s
held3-landscape-332/held3-landscape-332-p1-p1: fov 62.15 (true 67.30) valid 0.484 0.64 s
held3-landscape-332/held3-landscape-332-p1-p2: fov 57.54 (true 67.30) valid 0.630 0.75 s
held3-landscape-332/held3-landscape-332-s1-p0: fov 48.31 (true 53.06) valid 0.802 0.86 s
held3-landscape-332/held3-landscape-332-s1-p1: fov 52.14 (true 53.06) valid 0.466 0.62 s
held3-landscape-332/held3-landscape-332-s1-p2: fov 57.32 (true 53.06) valid 0.461 0.62 s
held3-landscape-332/held3-landscape-332-s2-p0: fov 45.47 (true 53.06) valid 0.843 0.85 s
held3-landscape-332/held3-landscape-332-s2-p1: fov 51.47 (true 53.06) valid 0.574 0.68 s
held3-landscape-332/held3-landscape-332-s2-p2: fov 50.01 (true 53.06) valid 0.508 0.65 s
held3-landscape-332/held3-landscape-332-s2-p3: fov 51.33 (true 53.06) valid 0.830 0.83 s
held3-landscape-332/held3-landscape-332-s3-p0: fov 51.74 (true 53.06) valid 0.607 0.72 s
held3-landscape-332/held3-landscape-332-s3-p1: fov 60.39 (true 53.06) valid 0.636 0.69 s
held3-landscape-332/held3-landscape-332-s3-p2: fov 48.85 (true 53.06) valid 0.635 0.69 s
held3-room-231/held3-room-231-c1-p0: fov 55.77 (true 53.06) valid 1.000 0.93 s
held3-room-231/held3-room-231-c1-p1: fov 53.90 (true 53.06) valid 1.000 0.92 s
held3-room-231/held3-room-231-c1-p2: fov 52.69 (true 53.06) valid 1.000 0.92 s
held3-room-231/held3-room-231-c2-p0: fov 53.34 (true 53.06) valid 1.000 0.94 s
held3-room-231/held3-room-231-c2-p1: fov 51.74 (true 53.06) valid 1.000 0.92 s
held3-room-231/held3-room-231-c2-p2: fov 52.62 (true 53.06) valid 1.000 0.93 s
held3-room-231/held3-room-231-c3-p0: fov 57.42 (true 53.06) valid 1.000 0.92 s
held3-room-231/held3-room-231-c3-p1: fov 53.88 (true 53.06) valid 1.000 0.88 s
held3-room-231/held3-room-231-c3-p2: fov 57.76 (true 53.06) valid 1.000 0.90 s
held3-room-231/held3-room-231-g1-p0: fov 54.85 (true 53.06) valid 1.000 0.98 s
held3-room-231/held3-room-231-g1-p1: fov 55.01 (true 53.06) valid 1.000 1.06 s
held3-room-231/held3-room-231-g1-p2: fov 52.37 (true 53.06) valid 1.000 1.00 s
held3-room-231/held3-room-231-g1-p3: fov 52.37 (true 53.06) valid 1.000 0.96 s
held3-room-231/held3-room-231-lo-p0: fov 53.07 (true 53.06) valid 1.000 0.98 s
held3-room-231/held3-room-231-lo-p1: fov 52.31 (true 53.06) valid 1.000 1.04 s
held3-room-231/held3-room-231-m1-p0: fov 51.22 (true 53.06) valid 1.000 0.95 s
held3-room-231/held3-room-231-m1-p1: fov 43.04 (true 28.03) valid 1.000 1.31 s
held3-room-231/held3-room-231-m1-p2: fov 37.71 (true 12.35) valid 1.000 1.22 s
held3-room-231/held3-room-231-m1-p3: fov 53.09 (true 53.06) valid 1.000 1.43 s
held3-room-231/held3-room-231-mv-p0: fov 55.77 (true 53.06) valid 1.000 1.91 s
held3-room-231/held3-room-231-mv-p1: fov 53.62 (true 53.06) valid 1.000 1.88 s
held3-room-231/held3-room-231-mv-p2: fov 46.59 (true 53.06) valid 1.000 1.66 s
held3-room-231/held3-room-231-mv2-p0: fov 54.02 (true 53.06) valid 1.000 1.79 s
held3-room-231/held3-room-231-mv2-p1: fov 52.67 (true 53.06) valid 1.000 1.67 s
held3-room-231/held3-room-231-mv2-p2: fov 52.98 (true 53.06) valid 1.000 1.74 s
held3-room-231/held3-room-231-p1-p0: fov 68.77 (true 67.30) valid 1.000 1.97 s
held3-room-231/held3-room-231-p1-p1: fov 62.22 (true 67.30) valid 1.000 1.78 s
held3-room-231/held3-room-231-p1-p2: fov 63.17 (true 67.30) valid 1.000 1.64 s
held3-room-231/held3-room-231-s1-p0: fov 50.77 (true 53.06) valid 1.000 1.85 s
held3-room-231/held3-room-231-s1-p1: fov 53.23 (true 53.06) valid 1.000 1.60 s
held3-room-231/held3-room-231-s1-p2: fov 59.06 (true 53.06) valid 1.000 1.50 s
held3-room-231/held3-room-231-s2-p0: fov 54.21 (true 53.06) valid 1.000 1.57 s
held3-room-231/held3-room-231-s2-p1: fov 52.44 (true 53.06) valid 1.000 1.76 s
held3-room-231/held3-room-231-s2-p2: fov 53.06 (true 53.06) valid 1.000 1.58 s
held3-room-231/held3-room-231-s2-p3: fov 54.12 (true 53.06) valid 1.000 1.09 s
held3-room-231/held3-room-231-s3-p0: fov 52.23 (true 53.06) valid 1.000 1.12 s
held3-room-231/held3-room-231-s3-p1: fov 54.95 (true 53.06) valid 1.000 1.08 s
held3-room-231/held3-room-231-s3-p2: fov 53.90 (true 53.06) valid 1.000 1.04 s
held3-room-232/held3-room-232-c1-p0: fov 51.76 (true 53.06) valid 1.000 1.03 s
held3-room-232/held3-room-232-c1-p1: fov 54.86 (true 53.06) valid 1.000 1.01 s
held3-room-232/held3-room-232-c1-p2: fov 49.56 (true 53.06) valid 1.000 0.99 s
held3-room-232/held3-room-232-c2-p0: fov 54.47 (true 53.06) valid 1.000 0.97 s
held3-room-232/held3-room-232-c2-p1: fov 52.44 (true 53.06) valid 1.000 0.93 s
held3-room-232/held3-room-232-c2-p2: fov 53.46 (true 53.06) valid 1.000 0.93 s
held3-room-232/held3-room-232-c3-p0: fov 54.53 (true 53.06) valid 1.000 0.98 s
held3-room-232/held3-room-232-c3-p1: fov 51.62 (true 53.06) valid 1.000 0.97 s
held3-room-232/held3-room-232-c3-p2: fov 53.90 (true 53.06) valid 1.000 0.94 s
held3-room-232/held3-room-232-g1-p0: fov 54.75 (true 53.06) valid 1.000 0.94 s
held3-room-232/held3-room-232-g1-p1: fov 53.60 (true 53.06) valid 1.000 0.89 s
held3-room-232/held3-room-232-g1-p2: fov 48.93 (true 53.06) valid 1.000 0.89 s
held3-room-232/held3-room-232-g1-p3: fov 52.77 (true 53.06) valid 1.000 0.89 s
held3-room-232/held3-room-232-lo-p0: fov 53.10 (true 53.06) valid 1.000 0.92 s
held3-room-232/held3-room-232-lo-p1: fov 49.71 (true 53.06) valid 1.000 0.92 s
held3-room-232/held3-room-232-m1-p0: fov 53.37 (true 53.06) valid 1.000 0.89 s
held3-room-232/held3-room-232-m1-p1: fov 37.87 (true 28.03) valid 1.000 0.88 s
held3-room-232/held3-room-232-m1-p2: fov 35.82 (true 12.35) valid 1.000 0.86 s
held3-room-232/held3-room-232-m1-p3: fov 53.88 (true 53.06) valid 1.000 0.84 s
held3-room-232/held3-room-232-mv-p0: fov 55.46 (true 53.06) valid 1.000 0.82 s
held3-room-232/held3-room-232-mv-p1: fov 51.83 (true 53.06) valid 1.000 0.87 s
held3-room-232/held3-room-232-mv-p2: fov 18.57 (true 53.06) valid 0.967 0.84 s
held3-room-232/held3-room-232-mv2-p0: fov 54.67 (true 53.06) valid 1.000 0.84 s
